date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:41:08	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Sep%202020%2001:41:09%20GMT	https://themekita.com/robots.txt		(from )
08:41:09	1797/1797	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2001:41:09%20GMT	https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/	D:/xampp64/www/retribusi/public/assets/template/fonts/summernote/website/themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/index.html	(from )
08:41:09	171/171	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Jun%202020%2013:31:28%20GMT	https://themekita.com/_autoindex/icons/blank.png	D:/xampp64/www/retribusi/public/assets/template/fonts/summernote/website/themekita.com/_autoindex/icons/blank.png	(from https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/)
08:41:09	1139/1139	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Jun%202020%2013:31:28%20GMT	https://themekita.com/_autoindex/icons/up.png	D:/xampp64/www/retribusi/public/assets/template/fonts/summernote/website/themekita.com/_autoindex/icons/up.png	(from https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/)
08:41:09	1070/1070	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Jun%202020%2013:31:28%20GMT	https://themekita.com/_autoindex/icons/unknown.png	D:/xampp64/www/retribusi/public/assets/template/fonts/summernote/website/themekita.com/_autoindex/icons/unknown.png	(from https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/)
08:41:09	16570/16570	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20Dec%202017%2021:41:48%20GMT	https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/summernote.eot	D:/xampp64/www/retribusi/public/assets/template/fonts/summernote/website/themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/summernote.eot	(from https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/)
08:41:10	16384/16384	---M--	200	added ('OK')	font/ttf	date:Sun,%2024%20Dec%202017%2021:41:48%20GMT	https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/summernote.ttf	D:/xampp64/www/retribusi/public/assets/template/fonts/summernote/website/themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/summernote.ttf	(from https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/)
08:41:10	10184/10184	---M--	200	added ('OK')	font/woff	date:Sun,%2024%20Dec%202017%2021:41:48%20GMT	https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/summernote.woff	D:/xampp64/www/retribusi/public/assets/template/fonts/summernote/website/themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/summernote.woff	(from https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/)
08:41:21	1797/1797	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2001:41:10%20GMT	https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/?ND	D:/xampp64/www/retribusi/public/assets/template/fonts/summernote/website/themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/index9a11.html	(from https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/)
08:41:21	1797/1797	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2001:41:11%20GMT	https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/?MA	D:/xampp64/www/retribusi/public/assets/template/fonts/summernote/website/themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/index2a60.html	(from https://themekita.com/demo-atlantis-bootstrap/livepreview/examples/assets/fonts/summernote/)
